,downYear,upYear,downMonth,upMonth
22568,11,7,120,110
22138,1,4,35,41
38324,4,7,70,81
49592,3,2,42,34
47562,4,1,52,24
21397,10,19,177,185
38930,2,1,26,24
32141,4,3,54,48
45428,9,6,90,99
42024,15,22,222,236
50227,12,27,210,268
48549,5,8,76,100
23309,8,28,197,253
33312,5,14,115,130
39669,5,14,104,134
49744,9,21,184,191
17435,6,7,84,84
14461,3,2,40,40
26462,2,4,36,46
46703,10,25,215,231
38455,5,4,56,64
43449,12,38,241,366
47482,0,0,7,6
22189,2,3,32,39
41160,2,4,37,39
50876,15,35,261,341
48258,3,2,32,35
51799,4,5,58,65
42083,11,23,198,230
27748,0,0,8,7
49955,4,2,46,42
49920,6,4,62,65
46447,4,7,72,72
26534,5,6,66,71
45014,9,8,109,107
46228,9,7,110,101
15747,5,15,126,132
54009,0,0,4,3
39335,3,7,59,76
39538,13,24,225,246
27887,14,34,244,336
48434,5,4,53,66
43510,5,6,71,73
47052,2,8,57,78
27190,5,7,75,83
25590,2,1,20,26
39642,15,33,249,331
42526,4,8,62,86
46391,2,2,35,32
39087,12,21,191,232
15560,15,22,206,254
16336,2,6,55,59
20394,9,13,143,140
21282,0,2,16,24
39765,9,13,120,156
10874,13,21,191,232
51801,1,1,17,21
56266,7,17,144,161
42091,1,0,16,8
56485,8,5,71,96
49680,6,17,121,172
50681,1,1,20,18
50403,1,0,14,9
22111,13,34,239,333
51027,2,0,26,12
56864,2,4,40,63
40352,9,8,101,109
46201,1,2,23,20
31536,8,16,128,168
46674,10,37,248,318
50534,1,4,35,47
46295,11,14,140,168
38885,2,2,29,31
41486,4,9,80,92
38850,9,11,121,133
48565,10,6,101,101
57779,0,0,4,11
48119,0,1,11,13
38578,10,19,162,196
27713,11,22,189,220
56223,15,16,188,197
27828,17,29,252,303
58296,9,10,123,125
57488,6,3,69,59
38156,13,32,229,322
40221,6,9,91,103
46877,13,28,206,304
42235,0,2,17,21
53786,5,18,113,175
35166,2,7,57,65
38041,2,5,39,51
55386,3,3,43,36
38551,3,10,59,107
43916,9,13,129,143
40141,1,9,64,61
48960,8,22,163,203
46922,3,21,131,164
47941,12,29,235,263
41662,2,8,61,71
44273,3,4,48,58
20220,16,17,192,218
40053,1,10,54,95
21485,6,6,69,93
58659,0,0,2,4
43502,1,3,24,37
40272,14,30,236,302
56012,0,0,9,11
41478,2,2,34,24
59408,15,29,230,304
59379,8,22,155,217
41718,4,15,104,133
41929,7,12,117,128
50956,5,16,111,150
48071,5,19,132,162
51772,6,16,111,168
38703,11,33,220,314
46850,6,17,122,171
33056,2,3,30,39
57250,2,5,44,55
58827,7,14,120,147
47626,4,13,88,124
53903,5,5,66,63
53858,5,13,106,127
56805,5,5,70,59
47079,4,17,118,149
26497,4,1,46,28
80411,0,1,15,15
24192,7,10,96,123
24205,6,38,195,339
59483,8,11,115,129
26550,3,16,90,147
59176,11,33,217,317
59459,9,35,212,322
48223,4,11,86,100
47896,13,31,237,297
59184,8,23,165,223
54615,0,5,32,44
59192,10,29,202,272
46658,6,12,100,126
49015,12,32,221,313
59440,9,22,157,229
53081,6,14,104,147
59432,11,10,114,143
26403,12,32,220,314
59221,1,4,28,41
47300,4,12,86,123
59248,17,27,242,292
59416,2,6,51,55
48354,3,19,116,159
56098,1,0,11,17
48485,7,22,136,221
48397,3,21,110,191
27959,8,36,199,335
31659,8,4,81,72
26286,6,6,80,75
59467,10,6,106,95
59328,13,31,223,306
49154,12,32,220,309
51377,14,20,193,224
28169,1,1,16,14
42657,0,1,14,18
53831,10,21,172,217
30365,1,6,28,64
16360,2,9,58,82
59205,2,9,60,76
55685,0,2,10,26
45065,2,4,39,53
58990,11,17,167,188
41427,1,9,57,74
43772,10,25,184,253
43123,14,22,219,222
26542,5,12,95,123
32475,3,11,66,113
26307,0,0,3,8
51561,5,4,50,71
26390,3,6,55,70
52337,16,20,202,244
46754,6,3,57,71
48653,12,26,196,274
19051,3,16,101,143
22250,8,7,88,104
43553,12,29,198,302
52564,2,3,34,42
44652,5,14,103,136
25216,2,3,32,36
36505,1,4,29,45
19502,12,29,223,272
48506,8,33,182,311
26382,9,12,135,152
66800,12,28,207,284
26681,6,8,80,107
61890,3,2,37,40
61794,3,2,33,35
65816,7,4,75,69
61970,0,7,33,65
60506,9,31,203,280
43132,1,2,15,25
58640,7,14,117,143
60628,13,27,214,268
34147,11,3,92,84
62148,13,27,199,282
17340,3,5,51,47
60572,2,1,21,26
45671,8,16,133,167
44644,5,34,194,285
59811,1,1,18,18
52695,9,30,213,263
41523,3,1,30,27
40125,15,21,192,268
57592,10,7,103,117
52070,0,2,16,24
59707,7,2,60,58
34032,14,25,206,269
63255,0,3,15,34
57381,5,11,79,124
40838,6,13,93,144
22840,8,22,160,209
58464,2,0,23,14
21450,2,3,32,36
28433,3,2,32,31
58085,4,2,42,32
16088,1,2,24,28
63060,9,16,146,172
45970,4,8,67,98
52919,9,17,145,176
17137,6,6,68,95
64186,8,30,192,272
50404,5,10,88,107
39394,1,2,15,39
15712,0,3,13,40
64311,8,30,195,267
55976,9,29,186,275
27749,6,2,54,57
46615,3,2,34,37
60206,8,30,194,266
23990,6,20,133,186
43318,1,3,24,33
43350,8,30,192,268
29946,10,28,190,269
36978,7,8,95,98
39140,1,5,28,50
14593,13,25,200,258
46594,3,11,76,99
34833,12,26,194,263
27633,13,21,188,226
64629,9,10,120,127
56186,0,0,7,12
55212,4,7,74,75
35211,4,10,86,103
64936,9,28,160,290
62834,9,13,117,158
61065,6,15,117,145
56274,11,26,184,264
64282,14,23,197,251
17278,7,3,71,60
63108,3,2,34,33
66069,3,7,53,86
55351,0,2,21,25
60900,1,2,22,25
61399,9,27,184,258
65883,9,13,111,163
74617,5,7,75,87
66093,10,26,192,250
65859,0,14,69,118
66018,3,9,56,105
66026,2,10,57,100
66122,2,13,70,126
65875,10,26,188,254
52062,0,1,14,18
54148,14,22,195,246
64207,3,1,31,33
61241,18,13,195,202
25507,1,0,13,11
38682,11,16,149,192
58596,1,3,27,37
30067,6,7,85,83
52978,11,25,183,253
61284,3,10,59,100
70229,5,10,84,104
49905,7,16,129,161
24715,9,1,59,66
58093,1,1,13,17
57568,9,27,165,270
25769,7,14,119,143
14323,8,13,122,141
44792,8,4,79,73
47490,8,7,91,102
47466,10,15,154,159
50032,4,17,112,147
60337,2,2,27,29
70376,6,5,63,81
45495,9,19,156,199
44951,12,14,145,183
25160,1,3,27,34
34817,13,22,185,244
28222,7,28,173,256
42200,13,22,182,246
38893,5,10,70,118
62164,6,4,69,61
64020,5,6,65,75
24766,9,26,169,258
21792,10,25,177,249
49606,0,4,14,41
75030,3,10,69,94
40539,8,27,171,253
54754,2,0,13,22
37102,2,6,46,59
33785,2,8,55,72
64064,4,3,44,53
25953,11,24,174,249
58480,4,6,62,72
41355,11,24,174,248
64477,4,5,48,65
43342,2,7,52,62
53612,7,8,90,98
57234,1,0,9,15
42999,0,0,2,6
63802,0,2,15,25
90721,6,2,51,61
65787,7,13,119,144
56573,7,27,178,241
61743,5,12,92,132
69024,1,1,15,18
42462,0,0,1,2
26518,9,11,108,149
42534,10,19,151,213
61583,5,8,82,92
26884,4,8,67,87
59926,1,10,62,85
47992,4,6,62,76
38280,2,1,23,24
54447,2,1,26,24
59010,13,21,187,226
57817,13,20,180,226
50156,4,4,50,56
49429,9,12,128,136
60097,10,24,170,241
37065,0,0,5,7
60046,5,5,62,69
49373,12,21,179,227
22066,6,8,75,105
51625,4,9,67,92
66114,7,13,118,134
28847,8,7,95,90
52038,7,27,167,242
91380,7,11,101,128
22753,5,5,71,63
42550,2,4,37,48
50737,0,0,3,9
50024,1,9,49,90
15077,5,16,105,156
56450,2,8,51,87
10623,0,0,7,5
46544,0,1,16,12
75034,12,21,183,221
53401,5,3,48,64
25778,12,18,175,201
71765,2,7,44,74
62324,5,6,69,72
32205,4,6,57,74
45751,11,22,163,238
75181,9,5,79,99
43298,0,0,2,6
25022,2,3,37,37
65066,5,5,58,68
47271,6,3,61,59
35051,7,20,139,193
34841,2,6,50,54
42753,0,2,11,21
44601,8,25,159,238
48514,4,7,67,81
32707,9,10,120,144
68347,4,9,76,95
66181,7,25,165,229
65138,5,10,92,103
62252,1,8,50,78
60839,1,2,22,26
60442,11,21,161,232
47837,0,0,6,9
68144,8,22,156,223
70519,11,21,163,229
39300,0,1,10,14
53479,6,11,80,140
52505,2,5,37,54
64346,5,5,69,65
54181,7,14,107,157
83601,6,9,96,101
51043,7,12,105,136
63845,5,3,48,51
47159,3,12,81,104
57665,6,26,150,236
75423,6,4,65,58
30912,0,1,12,10
71889,0,1,11,10
29196,5,2,46,57
70578,4,27,156,228
89392,3,6,57,72
36469,6,13,104,135
47028,4,1,37,34
70092,8,11,113,136
42833,3,6,57,71
71001,1,5,29,56
60986,10,21,174,207
62308,12,19,151,230
82705,1,1,20,22
47175,6,12,98,128
41081,2,3,37,41
45356,10,19,146,215
42104,5,5,60,70
10104,9,22,150,227
48274,5,16,107,161
23114,4,18,112,163
24272,6,12,111,120
75647,2,7,48,70
87127,5,4,62,60
19721,2,4,31,53
32563,4,5,60,57
68049,5,2,43,45
50905,4,4,44,58
13056,4,10,68,107
27764,4,3,47,47
68591,9,18,149,176
85631,10,21,152,221
76090,5,12,89,125
41179,4,4,51,62
65568,6,1,47,47
27430,8,7,91,103
55079,2,2,31,35
35238,4,5,57,59
18092,6,10,84,119
46288,1,1,22,15
78968,2,4,30,52
76285,0,1,6,9
27263,1,6,32,56
64856,4,6,51,75
76122,3,3,33,46
27087,0,2,21,23
18551,1,4,28,43
58472,1,1,18,15
76608,1,2,20,25
19589,2,1,29,22
76644,9,13,136,141
90609,12,7,130,103
32379,7,6,87,77
75789,5,10,91,109
14008,11,17,148,200
75646,5,17,109,168
76557,3,10,63,102
79250,3,2,37,38
76070,2,2,26,34
10078,7,10,101,108
77768,5,20,123,191
53065,10,18,155,184
79041,0,0,1,4
11626,0,0,7,7
78946,1,2,20,27
76171,4,8,68,90
63096,2,3,23,49
87055,4,23,131,196
50200,3,4,40,55
71298,5,3,50,54
75333,5,7,65,84
79764,1,3,23,31
11997,4,4,52,55
76076,10,17,132,193
10791,4,1,35,42
80080,10,16,146,177
64995,10,16,145,177
71175,10,16,142,180
79119,0,1,8,19
80094,2,2,21,41
80410,0,3,19,33
10107,6,20,126,193
58683,9,17,146,172
92655,4,22,113,205
56232,5,9,85,87
53613,12,14,144,172
77546,2,10,66,90
70536,3,17,97,157
76226,14,12,145,171
80694,1,1,17,14
41443,3,9,61,94
77605,11,14,140,171
14702,9,16,145,165
81193,1,3,25,38
49656,7,18,137,173
76512,1,2,24,32
75625,4,1,39,36
26710,9,16,135,173
71984,2,1,30,23
25487,4,6,64,71
81655,3,22,124,183
79323,10,15,133,173
75257,6,9,91,106
53938,1,3,18,36
81774,10,15,140,165
82959,1,5,36,42
69032,9,16,127,177
66157,10,15,123,180
22517,8,17,119,183
48267,11,7,105,116
25081,10,15,129,172
82309,1,1,13,17
82647,2,2,21,31
77462,7,17,135,157
82776,0,1,9,16
82775,8,16,126,174
76129,1,2,25,29
80678,1,1,23,23
76754,0,1,15,15
10147,7,12,111,135
67571,1,0,13,15
34746,9,15,139,159
77644,0,3,17,28
61735,7,17,116,181
11042,1,4,39,34
83462,4,3,43,50
85869,2,0,24,13
76804,6,5,69,78
78788,0,0,9,7
69607,1,2,22,29
11081,8,8,102,103
83332,4,5,57,65
82308,2,1,24,21
83988,0,1,6,11
84020,6,7,76,82
75175,6,6,77,79
81126,4,5,41,71
76605,5,18,120,168
84375,1,0,22,12
86976,4,0,36,30
84381,5,18,114,174
10693,4,1,36,38
62092,8,15,118,170
75912,4,5,58,59
75510,5,18,105,179
21371,10,13,121,163
52476,6,17,113,170
64565,4,6,66,67
75186,6,17,132,151
39490,11,12,133,149
85073,1,6,35,64
