,downYear,upYear,downMonth,upMonth,consecUp,consecDown,PosAftPos,PosAftNeg,NegAftPos,NegAftNeg
17048,2,7,49,75,9,6,45,30,29,19
15536,3,7,58,72,11,6,44,28,27,30
13135,2,4,34,48,8,4,28,19,19,15
12896,4,6,60,81,15,4,45,36,35,24
24328,8,19,167,184,9,8,92,90,91,76
16926,1,3,21,37,7,4,23,13,13,8
24643,25,38,349,417,12,7,225,191,191,158
17718,3,7,69,63,8,7,27,35,36,33
21119,12,17,171,190,8,6,101,88,88,82
11295,8,20,147,199,13,6,110,88,88,59
19967,3,1,39,28,4,5,10,18,18,20
21178,19,34,275,388,16,10,229,157,158,117
19692,14,28,239,285,9,10,164,120,121,118
17451,2,7,61,62,4,5,28,33,33,28
13151,0,2,17,22,5,3,11,10,11,6
24539,9,34,220,313,9,7,186,126,127,93
19297,8,16,143,160,10,7,88,71,72,71
14883,10,31,230,276,9,8,144,132,131,98
23341,10,26,199,251,12,5,138,112,112,87
20482,15,48,308,457,9,5,275,180,180,128
19959,0,0,8,5,1,3,0,5,4,3
25662,9,15,139,167,12,8,91,76,75,63
20511,4,3,49,44,6,5,19,24,25,23
24010,18,45,324,442,14,5,251,191,191,132
11527,3,7,61,77,12,5,42,35,34,26
12941,4,5,57,65,6,8,34,31,31,25
15480,2,3,38,41,9,5,23,17,18,20
14592,8,22,159,212,8,6,115,96,96,63
18454,0,3,17,36,8,4,25,10,10,7
22728,9,18,167,177,8,4,82,94,94,73
28513,3,8,61,85,6,9,47,37,37,24
23456,3,7,57,73,9,7,40,33,32,24
24803,16,30,258,314,11,8,170,142,142,116
11164,8,20,168,189,8,7,102,86,87,81
24854,7,13,116,136,7,7,73,61,62,54
20079,10,23,176,234,10,6,137,96,96,80
24571,7,17,138,170,8,6,89,80,80,57
17064,2,1,30,19,3,7,4,14,15,15
10102,9,8,109,106,6,7,52,53,53,56
10209,2,3,34,45,7,5,26,18,19,15
24563,8,41,270,337,9,5,179,157,157,113
22779,20,43,341,425,10,7,245,179,180,161
24993,3,3,42,41,6,7,22,18,18,24
16344,1,7,43,68,7,5,40,27,28,15
20503,2,5,50,49,6,5,26,22,22,28
23026,17,46,299,463,9,7,271,191,191,108
18649,14,24,206,256,11,7,133,123,122,83
22170,0,1,13,17,4,5,9,7,6,6
20896,9,16,139,171,7,6,93,78,77,60
19879,11,9,122,124,11,7,68,56,56,65
18374,12,28,223,280,8,7,155,125,124,98
23536,6,30,182,275,6,5,157,117,117,64
14699,0,0,0,1,1,0,0,0,0,0
20992,8,8,109,93,8,9,46,47,47,61
26366,8,9,93,124,9,5,70,53,53,40
20909,10,17,154,188,6,8,94,93,93,61
21266,3,5,49,62,7,4,34,28,28,20
21194,9,8,104,115,7,5,56,58,58,46
15317,3,4,45,57,9,4,32,24,24,21
25179,1,1,10,21,7,2,14,6,6,4
22218,6,8,104,99,8,14,46,52,52,51
12650,10,14,150,174,8,6,84,88,87,62
21469,4,3,49,53,8,7,29,24,23,25
22410,8,11,121,142,7,7,71,69,69,52
21223,0,0,5,13,4,2,8,4,4,1
18331,8,11,110,125,10,7,64,60,60,50
26657,19,21,242,257,7,7,136,121,121,120
15579,20,41,330,412,12,6,228,183,183,147
26294,13,16,178,194,8,7,102,91,91,86
25419,18,43,327,414,9,6,225,188,189,138
25670,0,0,11,8,3,6,3,4,4,7
26446,7,3,73,64,4,6,24,39,39,34
26323,3,4,39,55,7,4,31,24,23,15
24387,1,3,32,32,4,6,18,14,14,17
23616,0,0,7,12,4,3,7,4,4,3
14728,1,1,16,23,4,3,11,12,11,4
25742,0,0,1,7,7,1,6,1,0,0
27158,3,6,52,65,5,4,35,29,30,22
27473,11,16,167,163,6,7,82,80,80,87
16424,13,31,202,338,9,7,210,127,127,75
25339,3,2,41,22,3,10,8,13,13,28
25910,12,21,180,223,7,10,126,96,96,84
13119,20,25,255,289,7,7,161,127,127,128
22533,7,11,93,130,8,6,79,50,50,43
27027,9,18,144,191,11,6,108,82,83,61
26921,9,5,89,87,5,7,42,43,44,45
27537,2,4,30,49,8,4,31,17,18,12
21709,8,14,130,155,13,10,87,67,67,63
25574,9,13,122,155,6,7,88,66,66,56
27465,5,5,65,74,6,8,37,37,36,28
27182,2,1,32,20,4,7,8,11,12,20
26825,16,43,307,410,9,5,220,190,190,116
11033,1,5,39,44,6,5,23,21,20,18
23878,3,3,38,44,6,5,21,23,22,15
18390,3,3,42,47,8,5,26,21,21,20
27836,8,4,77,76,5,6,38,37,38,39
27510,6,13,115,125,7,10,62,63,62,52
27916,2,4,39,42,7,4,20,22,21,17
28003,6,10,87,112,6,7,64,48,47,39
20415,8,9,132,120,8,9,58,59,61,70
27617,1,1,16,10,2,5,3,7,7,8
28310,8,31,208,278,11,8,164,114,114,93
28134,10,14,130,173,12,4,96,76,76,54
24889,1,4,33,38,5,5,21,17,16,16
23253,8,10,118,128,7,5,72,55,55,62
68523,1,2,35,21,4,10,8,13,13,21
28118,13,24,217,241,7,9,125,116,116,100
28484,23,26,284,325,12,9,176,149,147,135
38404,1,2,20,24,4,3,12,11,11,9
28548,5,19,132,168,8,6,89,78,78,54
26737,4,10,89,108,6,8,59,49,48,39
26120,6,13,107,135,11,5,72,62,62,45
23552,13,17,183,192,9,8,99,92,92,91
22920,4,5,66,56,5,10,21,34,35,31
23288,0,0,5,11,3,1,6,5,4,0
25718,9,9,110,117,7,6,57,58,58,51
14402,6,9,87,103,11,5,62,40,40,47
38973,7,27,175,241,10,5,136,104,104,70
39263,3,6,61,56,7,9,30,26,26,34
11746,4,5,58,67,5,5,34,33,33,24
26622,9,16,136,173,10,8,99,73,74,62
28580,5,15,100,149,11,9,95,54,54,45
25515,5,6,77,70,6,7,36,34,34,42
27983,22,35,324,364,8,8,193,171,170,153
22365,0,1,4,12,7,2,9,2,3,1
23579,13,35,245,340,9,9,197,142,141,103
28353,8,29,178,278,11,7,164,113,113,65
39917,17,39,310,374,10,6,203,171,170,139
26438,14,21,208,235,10,8,121,114,114,93
21338,4,4,62,56,4,8,22,33,34,28
25478,10,12,127,156,8,5,90,65,65,62
23915,15,25,241,261,9,7,134,126,126,115
39626,6,9,95,99,7,6,51,47,48,47
19166,16,32,265,327,8,7,175,152,151,112
40010,6,14,116,143,6,5,73,69,69,47
36468,12,44,299,381,12,8,213,167,168,131
40483,9,27,189,251,8,9,151,99,100,89
40758,1,2,19,29,5,7,19,9,10,9
40301,7,15,135,144,8,5,77,67,66,68
22103,11,44,296,376,9,6,206,169,169,127
27174,8,10,107,130,8,6,74,55,55,52
23800,5,5,70,73,9,6,38,34,34,36
38914,14,19,203,223,16,10,123,99,100,102
41080,22,33,310,362,11,10,197,164,165,145
25902,4,3,54,46,6,5,24,22,21,32
41515,3,1,34,28,4,6,13,15,15,18
40790,6,8,90,96,8,8,46,49,49,41
27000,4,6,63,70,7,6,36,34,33,29
27115,11,20,171,214,10,6,120,94,93,77
27297,6,11,97,120,6,8,70,49,48,48
41953,6,3,65,51,8,8,25,26,25,39
28177,3,4,50,45,6,8,26,19,19,30
28265,3,4,48,47,6,5,22,25,25,22
26729,11,20,180,202,6,8,103,98,98,82
27342,4,11,85,104,10,5,54,49,49,36
25873,7,11,103,124,6,7,71,52,52,51
42323,3,4,52,39,5,6,22,16,17,35
40635,7,22,160,190,8,5,96,93,93,67
34040,16,13,179,185,7,6,98,86,86,93
34550,2,1,26,21,3,6,8,13,12,13
29911,7,6,87,86,5,8,45,41,40,46
39992,8,7,95,99,7,8,50,49,48,46
26155,4,5,54,62,4,5,28,32,32,22
26075,11,22,191,219,9,7,117,101,101,90
27043,6,14,119,144,6,8,74,70,69,48
30330,6,23,156,196,9,6,106,89,89,67
20474,5,2,54,37,3,5,10,27,26,27
24985,13,25,202,263,9,8,147,113,114,88
25144,4,5,58,57,4,10,26,30,30,28
26788,7,9,100,102,6,6,51,51,50,49
27940,7,15,118,150,10,6,81,69,68,49
21928,4,5,54,61,7,7,35,25,26,28
22613,5,5,66,70,5,6,34,35,34,31
40061,14,25,217,272,9,9,158,113,113,104
21274,11,15,148,176,10,9,96,79,79,69
27051,6,25,162,222,9,5,126,95,95,67
25988,5,12,97,125,9,5,74,50,50,47
27852,3,2,32,37,4,3,16,21,20,11
27879,4,1,37,33,4,6,15,17,18,19
28505,8,11,107,130,8,6,70,60,59,47
40416,19,28,251,323,11,9,181,142,141,109
44062,8,24,169,233,11,4,129,104,103,65
31763,8,8,100,105,5,7,49,55,55,45
27086,8,14,128,153,11,7,85,67,67,61
40854,5,12,96,121,10,6,70,51,50,45
43609,4,7,71,67,5,7,33,34,33,36
17267,4,5,52,66,5,5,36,29,30,22
40723,8,9,103,108,8,6,56,51,51,52
42569,2,0,20,12,3,4,3,8,8,12
16280,2,3,39,35,8,6,17,17,17,22
19414,7,9,91,105,9,9,58,47,46,44
45081,8,6,83,92,8,5,43,49,48,34
11332,2,2,30,31,4,6,16,13,13,17
43094,0,0,6,6,3,3,4,2,2,3
23480,0,0,2,4,4,2,3,1,0,1
27596,10,18,160,197,7,4,100,97,96,62
44505,6,7,84,91,5,7,49,42,41,42
45620,7,2,61,58,6,9,29,28,28,32
26112,18,18,222,228,8,8,118,110,110,111
45604,0,8,43,80,6,4,51,28,28,14
28089,1,0,14,10,2,4,2,8,7,6
42606,12,11,142,149,8,8,84,65,65,76
17961,11,21,172,224,12,5,122,102,102,69
42796,12,30,220,292,9,6,165,126,126,94
41785,2,3,38,31,7,6,14,16,16,22
27924,8,14,131,151,7,6,75,75,75,56
24651,4,3,57,40,5,8,17,23,22,34
40432,2,0,15,16,5,6,10,6,5,9
20343,8,11,114,123,12,6,66,57,56,57
42075,5,1,50,39,7,5,19,20,19,30
45663,4,5,56,62,7,8,33,29,28,27
43633,0,0,4,5,3,2,2,2,2,2
43203,4,6,63,62,5,7,34,27,28,35
45225,2,1,27,22,6,5,10,12,11,15
28994,1,0,12,10,4,3,4,6,6,5
26649,10,10,112,140,8,5,78,61,61,51
29962,4,1,41,34,6,8,18,15,15,25
39271,7,8,93,102,11,5,55,46,46,47
39458,5,5,66,58,6,9,29,28,28,38
27238,5,1,52,35,7,8,14,21,21,30
46682,4,10,88,95,8,6,47,47,47,41
22939,0,0,3,4,3,3,2,1,1,2
33873,6,6,78,70,6,10,35,34,34,44
34024,4,10,76,102,7,7,55,46,46,30
16029,6,7,78,90,6,5,43,46,46,32
46252,5,7,69,83,10,5,42,40,41,28
33814,11,16,150,195,11,5,107,87,87,63
46578,9,42,255,369,11,5,225,144,144,110
39896,3,8,73,80,7,9,46,34,33,39
47386,0,2,19,23,10,4,15,8,7,11
14656,17,25,233,290,7,7,149,140,141,92
21207,22,29,296,324,7,5,160,163,163,133
26569,4,4,58,56,5,6,30,26,25,32
48725,13,38,258,359,9,8,208,150,150,108
22568,11,7,120,110,6,5,53,56,56,64
22138,1,4,35,41,5,4,22,19,19,15
38324,4,7,70,81,6,5,42,38,38,32
49592,3,2,42,34,4,7,11,22,22,20
47562,4,1,52,24,4,11,10,14,13,38
21397,10,19,177,185,10,6,93,92,91,85
38930,2,1,26,24,6,4,13,11,10,15
32141,4,3,54,48,7,6,28,20,19,34
45428,9,6,90,99,6,5,48,51,51,38
42024,15,22,222,236,6,7,120,116,115,106
50227,12,27,210,268,12,6,152,116,115,94
48549,5,8,76,100,10,6,60,40,40,35
23309,8,28,197,253,7,6,140,113,112,84
33312,5,14,115,130,11,6,69,60,60,54
39669,5,14,104,134,12,9,84,50,50,53
49744,9,21,184,191,9,6,94,97,96,87
17435,6,7,84,84,6,9,42,42,42,41
14461,3,2,40,40,4,3,15,25,24,15
26462,2,4,36,46,6,3,23,22,21,14
46703,10,25,215,231,9,7,121,109,108,106
38455,5,4,56,64,6,4,35,29,28,27
43449,12,38,241,366,11,6,230,135,136,105
47482,0,0,7,6,2,3,2,4,3,3
22189,2,3,32,39,10,5,23,15,15,17
41160,2,4,37,39,5,5,20,19,19,17
50876,15,35,261,341,13,6,188,152,152,109
48258,3,2,32,35,6,7,19,15,16,16
51799,4,5,58,65,7,5,36,28,28,30
42083,11,23,198,230,8,8,122,108,107,90
27748,0,0,8,7,2,2,3,4,4,3
49955,4,2,46,42,4,4,17,24,24,22
49920,6,4,62,65,7,8,31,34,33,28
46447,4,7,72,72,6,7,36,34,35,37
26534,5,6,66,71,7,4,41,29,29,37
45014,9,8,109,107,7,7,54,52,53,56
46228,9,7,110,101,7,7,50,50,50,60
15747,5,15,126,132,8,8,69,62,62,64
54009,0,0,4,3,2,2,1,2,1,2
39335,3,7,59,76,8,4,40,36,36,22
39538,13,24,225,246,9,7,121,124,125,99
27887,14,34,244,336,10,11,191,144,144,100
48434,5,4,53,66,8,9,39,27,26,26
43510,5,6,71,73,6,8,37,36,35,35
47052,2,8,57,78,6,4,43,34,35,22
27190,5,7,75,83,7,6,42,40,40,35
25590,2,1,20,26,6,5,14,11,11,9
39642,15,33,249,331,9,6,176,155,154,94
42526,4,8,62,86,6,6,53,32,32,30
46391,2,2,35,32,5,4,14,16,17,18
